tag,mode,round,round_secs,bytes_per_round,samples_per_local_epoch,fipca_rank,dp_sigma,eval_loss,eval_ssim,eval_psnr
fedsafe_dpsgd,dpsgd,16,7.431605100631714,59178012,40,,0.5,,,
fedsafe_dpsgd,dpsgd,17,7.437614917755127,59178012,40,,0.5,,,
fedsafe_dpsgd,dpsgd,18,7.750771522521973,59178012,40,,0.5,,,
fedsafe_dpsgd,dpsgd,19,7.356438636779785,59178012,40,,0.5,,,
fedsafe_dpsgd,dpsgd,20,7.675109148025513,59178012,40,,0.5,0.9951807707548141,0.2327338010072708,11.212388575077057
fedsafe_dpsgd,dpsgd,21,7.242534399032593,59178012,40,,0.5,,,
fedsafe_dpsgd,dpsgd,22,7.820650100708008,59178012,40,,0.5,,,
fedsafe_dpsgd,dpsgd,23,7.234988689422607,59178012,40,,0.5,,,
fedsafe_dpsgd,dpsgd,24,7.587722539901733,59178012,40,,0.5,,,
fedsafe_dpsgd,dpsgd,25,7.472311735153198,59178012,40,,0.5,0.9909540638327599,0.23638274520635605,11.271040737628937
fedsafe_dpsgd,dpsgd,26,7.491419792175293,59178012,40,,0.5,,,
fedsafe_dpsgd,dpsgd,27,7.398959398269653,59178012,40,,0.5,,,
fedsafe_dpsgd,dpsgd,28,7.480207681655884,59178012,40,,0.5,,,
fedsafe_dpsgd,dpsgd,29,7.767001628875732,59178012,40,,0.5,,,
fedsafe_dpsgd,dpsgd,30,7.276576042175293,59178012,40,,0.5,0.9947950690984726,0.23436474055051804,11.287858933210373
fedsafe_dpsgd,dpsgd,31,7.719853401184082,59178012,40,,0.5,,,
fedsafe_dpsgd,dpsgd,32,7.369647264480591,59178012,40,,0.5,,,
fedsafe_dpsgd,dpsgd,33,7.595444679260254,59178012,40,,0.5,,,
fedsafe_dpsgd,dpsgd,34,7.219059228897095,59178012,40,,0.5,,,
fedsafe_dpsgd,dpsgd,35,7.594702243804932,59178012,40,,0.5,0.9916590824723244,0.23566367477178574,11.30889281630516
fedsafe_dpsgd,dpsgd,36,7.405187368392944,59178012,40,,0.5,,,
fedsafe_dpsgd,dpsgd,37,7.502824544906616,59178012,40,,0.5,,,
fedsafe_dpsgd,dpsgd,38,7.491571664810181,59178012,40,,0.5,,,
fedsafe_dpsgd,dpsgd,39,7.488208532333374,59178012,40,,0.5,,,
fedsafe_dpsgd,dpsgd,40,7.788262844085693,59178012,40,,0.5,0.9907988011837006,0.23618359863758087,11.301211267709732
fedsafe_dpsgd,dpsgd,41,7.227344751358032,59178012,40,,0.5,,,
fedsafe_dpsgd,dpsgd,42,7.732823371887207,59178012,40,,0.5,,,
fedsafe_dpsgd,dpsgd,43,7.322820663452148,59178012,40,,0.5,,,
fedsafe_dpsgd,dpsgd,44,7.660385370254517,59178012,40,,0.5,,,
fedsafe_dpsgd,dpsgd,45,7.253012657165527,59178012,40,,0.5,0.9857319816946983,0.23673009127378464,11.471607089042664
fedsafe_dpsgd,dpsgd,46,7.715480327606201,59178012,40,,0.5,,,
fedsafe_dpsgd,dpsgd,47,7.547055006027222,59178012,40,,0.5,,,
fedsafe_dpsgd,dpsgd,48,7.550992012023926,59178012,40,,0.5,,,
fedsafe_dpsgd,dpsgd,49,7.5012736320495605,59178012,40,,0.5,,,
fedsafe_dpsgd,dpsgd,50,7.426415205001831,59178012,40,,0.5,0.9907741546630859,0.23460549116134644,11.304653882980347
fedsafe_fipca,fipca,1,7.21200156211853,384,40,32,,0.9859808534383774,0.23927046358585358,11.466629356145859
fedsafe_fipca,fipca,2,6.762550115585327,384,40,32,,,,
fedsafe_fipca,fipca,3,7.04779577255249,384,40,32,,,,
fedsafe_fipca,fipca,4,6.744017601013184,384,40,32,,,,
fedsafe_fipca,fipca,5,7.253760099411011,384,40,32,,0.9859912842512131,0.239274762570858,11.46528571844101
fedsafe_fipca,fipca,6,6.726240873336792,384,40,32,,,,
fedsafe_fipca,fipca,7,7.055498838424683,384,40,32,,,,
fedsafe_fipca,fipca,8,6.707439422607422,384,40,32,,,,
fedsafe_fipca,fipca,9,7.071286916732788,384,40,32,,,,
fedsafe_fipca,fipca,10,6.903318166732788,384,40,32,,0.9859918504953384,0.23929103463888168,11.463757306337357
fedsafe_fipca,fipca,11,7.036825180053711,384,40,32,,,,
fedsafe_fipca,fipca,12,6.725608587265015,384,40,32,,,,
fedsafe_fipca,fipca,13,7.051541090011597,384,40,32,,,,
fedsafe_fipca,fipca,14,6.769231557846069,384,40,32,,,,
fedsafe_fipca,fipca,15,7.048519134521484,384,40,32,,0.9860215857625008,0.23927544057369232,11.462480872869492
fedsafe_fipca,fipca,16,6.730427503585815,384,40,32,,,,
fedsafe_fipca,fipca,17,6.972157716751099,384,40,32,,,,
fedsafe_fipca,fipca,18,6.779541969299316,384,40,32,,,,
fedsafe_fipca,fipca,19,6.955911636352539,384,40,32,,,,
fedsafe_fipca,fipca,20,6.738646984100342,384,40,32,,0.9860179722309113,0.23929153382778168,11.461355090141296
fedsafe_fipca,fipca,21,6.980084419250488,384,40,32,,,,
fedsafe_fipca,fipca,22,6.923359632492065,384,40,32,,,,
fedsafe_fipca,fipca,23,6.982037305831909,384,40,32,,,,
fedsafe_fipca,fipca,24,6.760912179946899,384,40,32,,,,
fedsafe_fipca,fipca,25,7.147836446762085,384,40,32,,0.9860177412629128,0.2393026500940323,11.460383832454681
fedsafe_fipca,fipca,26,6.767590284347534,384,40,32,,,,
fedsafe_fipca,fipca,27,7.043853759765625,384,40,32,,,,
fedsafe_fipca,fipca,28,6.772331237792969,384,40,32,,,,
fedsafe_fipca,fipca,29,7.169824838638306,384,40,32,,,,
fedsafe_fipca,fipca,30,6.67820143699646,384,40,32,,0.9860377162694931,0.23929139226675034,11.459602117538452
fedsafe_fipca,fipca,31,6.976807594299316,384,40,32,,,,
fedsafe_fipca,fipca,32,6.734613656997681,384,40,32,,,,
fedsafe_fipca,fipca,33,7.104583024978638,384,40,32,,,,
fedsafe_fipca,fipca,34,6.739338636398315,384,40,32,,,,
fedsafe_fipca,fipca,35,7.0394017696380615,384,40,32,,0.9860364347696304,0.23930194973945618,11.458775997161865
fedsafe_fipca,fipca,36,6.775157928466797,384,40,32,,,,
fedsafe_fipca,fipca,37,7.022634506225586,384,40,32,,,,
fedsafe_fipca,fipca,38,6.91612982749939,384,40,32,,,,
fedsafe_fipca,fipca,39,7.037531852722168,384,40,32,,,,
fedsafe_fipca,fipca,40,6.762202501296997,384,40,32,,0.9860563054680824,0.2392900139093399,11.458068639039993
