tag,mode,round,round_secs,bytes_per_round,samples_per_local_epoch,fipca_rank,error_feedback,resample_basis,dp_sigma,eval_loss,eval_ssim,eval_psnr
ifcnn_fipca_efrs_d1024,fipca,5,8.088069438934326,12288,40,1024,True,True,,0.9813778102397919,0.24958141893148422,11.018063798546791
ifcnn_fipca_efrs_d1024,fipca,6,7.994024276733398,12288,40,1024,True,True,,,,
ifcnn_fipca_efrs_d1024,fipca,7,8.082463502883911,12288,40,1024,True,True,,,,
ifcnn_fipca_efrs_d1024,fipca,8,8.048050880432129,12288,40,1024,True,True,,,,
ifcnn_fipca_efrs_d1024,fipca,9,8.05571460723877,12288,40,1024,True,True,,,,
ifcnn_fipca_efrs_d1024,fipca,10,8.047927379608154,12288,40,1024,True,True,,1.3522299379110336,0.0776912048459053,5.901618599891663
ifcnn_fipca_efrs_d1024,fipca,11,7.927232980728149,12288,40,1024,True,True,,,,
ifcnn_fipca_efrs_d1024,fipca,12,8.035204648971558,12288,40,1024,True,True,,,,
ifcnn_fipca_efrs_d1024,fipca,13,8.029417037963867,12288,40,1024,True,True,,,,
ifcnn_fipca_efrs_d1024,fipca,14,8.037150382995605,12288,40,1024,True,True,,,,
ifcnn_fipca_efrs_d1024,fipca,15,8.04048466682434,12288,40,1024,True,True,,1.3785427659749985,0.058779142796993256,5.8481525629758835
ifcnn_fipca_efrs_d1024,fipca,16,7.94938850402832,12288,40,1024,True,True,,,,
ifcnn_fipca_efrs_d1024,fipca,17,8.05109429359436,12288,40,1024,True,True,,,,
ifcnn_fipca_efrs_d1024,fipca,18,8.025144577026367,12288,40,1024,True,True,,,,
ifcnn_fipca_efrs_d1024,fipca,19,8.024624347686768,12288,40,1024,True,True,,,,
ifcnn_fipca_efrs_d1024,fipca,20,8.035685062408447,12288,40,1024,True,True,,1.3690114468336105,0.06632878631353378,5.877697020769119
ifcnn_fipca_efrs_d1024,fipca,21,7.946640491485596,12288,40,1024,True,True,,,,
ifcnn_fipca_efrs_d1024,fipca,22,8.037816047668457,12288,40,1024,True,True,,,,
ifcnn_fipca_efrs_d1024,fipca,23,8.042240142822266,12288,40,1024,True,True,,,,
ifcnn_fipca_efrs_d1024,fipca,24,8.036412000656128,12288,40,1024,True,True,,,,
ifcnn_fipca_efrs_d1024,fipca,25,8.013451099395752,12288,40,1024,True,True,,nan,nan,nan
ifcnn_fipca_efrs_d1024,fipca,26,7.922987937927246,12288,40,1024,True,True,,,,
ifcnn_fipca_efrs_d1024,fipca,27,8.027642726898193,12288,40,1024,True,True,,,,
ifcnn_fipca_efrs_d1024,fipca,28,7.825958251953125,12288,40,1024,True,True,,,,
ifcnn_fipca_efrs_d1024,fipca,29,7.817107677459717,12288,40,1024,True,True,,,,
ifcnn_fipca_efrs_d1024,fipca,30,7.8016064167022705,12288,40,1024,True,True,,nan,nan,nan
ifcnn_fipca_efrs_d1024,fipca,31,7.725289583206177,12288,40,1024,True,True,,,,
ifcnn_fipca_efrs_d1024,fipca,32,7.811878204345703,12288,40,1024,True,True,,,,
ifcnn_fipca_efrs_d1024,fipca,33,7.804112434387207,12288,40,1024,True,True,,,,
ifcnn_fipca_efrs_d1024,fipca,34,7.824813365936279,12288,40,1024,True,True,,,,
ifcnn_fipca_efrs_d1024,fipca,35,7.806169271469116,12288,40,1024,True,True,,nan,nan,nan
ifcnn_fipca_efrs_d1024,fipca,36,7.7296013832092285,12288,40,1024,True,True,,,,
ifcnn_fipca_efrs_d1024,fipca,37,7.817526578903198,12288,40,1024,True,True,,,,
ifcnn_fipca_efrs_d1024,fipca,38,7.821165561676025,12288,40,1024,True,True,,,,
ifcnn_fipca_efrs_d1024,fipca,39,7.813588380813599,12288,40,1024,True,True,,,,
ifcnn_fipca_efrs_d1024,fipca,40,7.8168463706970215,12288,40,1024,True,True,,nan,nan,nan
ifcnn_fipca_efrs_d1024,fipca,41,7.739746570587158,12288,40,1024,True,True,,,,
ifcnn_fipca_efrs_d1024,fipca,42,7.826063871383667,12288,40,1024,True,True,,,,
ifcnn_fipca_efrs_d1024,fipca,43,7.8278725147247314,12288,40,1024,True,True,,,,
ifcnn_fipca_efrs_d1024,fipca,44,7.817493200302124,12288,40,1024,True,True,,,,
ifcnn_fipca_efrs_d1024,fipca,45,7.812666893005371,12288,40,1024,True,True,,nan,nan,nan
ifcnn_fipca_efrs_d1024,fipca,46,7.731281280517578,12288,40,1024,True,True,,,,
ifcnn_fipca_efrs_d1024,fipca,47,7.826716184616089,12288,40,1024,True,True,,,,
ifcnn_fipca_efrs_d1024,fipca,48,7.811850547790527,12288,40,1024,True,True,,,,
ifcnn_fipca_efrs_d1024,fipca,49,7.820584297180176,12288,40,1024,True,True,,,,
ifcnn_fipca_efrs_d1024,fipca,50,7.831886053085327,12288,40,1024,True,True,,nan,nan,nan
ifcnn_fipca_efrs_d2048,fipca,1,15.07488751411438,24576,40,2048,True,True,,0.9874631762504578,0.23953209817409515,11.327714771032333
ifcnn_fipca_efrs_d2048,fipca,2,10.735479593276978,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,3,10.833696842193604,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,4,10.824880599975586,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,5,10.841485738754272,24576,40,2048,True,True,,0.9553827941417694,0.27373380959033966,11.139831691980362
ifcnn_fipca_efrs_d2048,fipca,6,10.716920614242554,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,7,10.828068733215332,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,8,10.79960036277771,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,9,10.798794746398926,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,10,10.791611433029175,24576,40,2048,True,True,,1.3347188979387283,0.13279012590646744,5.376743674278259
ifcnn_fipca_efrs_d2048,fipca,11,10.716561079025269,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,12,10.791130781173706,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,13,10.796950340270996,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,14,10.801330327987671,24576,40,2048,True,True,,,,
ifcnn_fipca_efrs_d2048,fipca,15,10.800932884216309,24576,40,2048,True,True,,1.3786173909902573,0.05872789025306702,5.847771763801575
