tag,mode,round,round_secs,bytes_per_round,samples_per_local_epoch,fipca_rank,eval_loss,eval_ssim,eval_psnr
fedsafe_fipca_brats,fipca,16,6.990856409072876,384,40,32,,,
fedsafe_fipca_brats,fipca,17,6.898611545562744,384,40,32,,,
fedsafe_fipca_brats,fipca,18,7.04970645904541,384,40,32,,,
fedsafe_fipca_brats,fipca,19,7.030441761016846,384,40,32,,,
fedsafe_fipca_brats,fipca,20,6.97699761390686,384,40,32,1.2956227846443653,0.09438539296388626,7.4544440023601055
fedsafe_fipca_brats,fipca,21,6.717535018920898,384,40,32,,,
fedsafe_fipca_brats,fipca,22,7.015360116958618,384,40,32,,,
fedsafe_fipca_brats,fipca,23,6.7083940505981445,384,40,32,,,
fedsafe_fipca_brats,fipca,24,7.09837794303894,384,40,32,,,
fedsafe_fipca_brats,fipca,25,6.712496042251587,384,40,32,1.2957259081304073,0.09437993913888931,7.4513487704098225
fedsafe_fipca_brats,fipca,26,6.981714248657227,384,40,32,,,
fedsafe_fipca_brats,fipca,27,6.775838613510132,384,40,32,,,
fedsafe_fipca_brats,fipca,28,7.029532194137573,384,40,32,,,
fedsafe_fipca_brats,fipca,29,6.925528526306152,384,40,32,,,
fedsafe_fipca_brats,fipca,30,6.986808776855469,384,40,32,1.2957995496690273,0.0943908765912056,7.448668796569109
fedsafe_fipca_brats,fipca,31,6.975513935089111,384,40,32,,,
fedsafe_fipca_brats,fipca,32,6.8903303146362305,384,40,32,,,
fedsafe_fipca_brats,fipca,33,7.092578649520874,384,40,32,,,
fedsafe_fipca_brats,fipca,34,6.755463361740112,384,40,32,,,
fedsafe_fipca_brats,fipca,35,7.02224588394165,384,40,32,1.2958672791719437,0.09440341591835022,7.446126230061054
fedsafe_fipca_brats,fipca,36,6.827493667602539,384,40,32,,,
fedsafe_fipca_brats,fipca,37,7.127100944519043,384,40,32,,,
fedsafe_fipca_brats,fipca,38,6.73771333694458,384,40,32,,,
fedsafe_fipca_brats,fipca,39,6.944010257720947,384,40,32,,,
fedsafe_fipca_brats,fipca,40,6.727890729904175,384,40,32,1.2959190346300602,0.09440912492573261,7.4443065002560616
fedsafe_fipca_brats,fipca,41,7.107629060745239,384,40,32,,,
fedsafe_fipca_brats,fipca,42,6.797312259674072,384,40,32,,,
fedsafe_fipca_brats,fipca,43,6.906491756439209,384,40,32,,,
fedsafe_fipca_brats,fipca,44,6.8071372509002686,384,40,32,,,
fedsafe_fipca_brats,fipca,45,7.043842554092407,384,40,32,1.2959680296480656,0.09441434405744076,7.4425906874239445
fedsafe_fipca_brats,fipca,46,6.988483428955078,384,40,32,,,
fedsafe_fipca_brats,fipca,47,6.776821851730347,384,40,32,,,
fedsafe_fipca_brats,fipca,48,7.007497787475586,384,40,32,,,
fedsafe_fipca_brats,fipca,49,6.9057886600494385,384,40,32,,,
fedsafe_fipca_brats,fipca,50,6.910669565200806,384,40,32,1.2960251048207283,0.09440899640321732,7.440953832119703
