tag,mode,round,round_secs,bytes_per_round,samples_per_local_epoch,fipca_rank,error_feedback,dp_sigma,eval_loss,eval_ssim,eval_psnr
fedsafe_fipca_ef_d32,fipca,17,6.95099401473999,384,40,32,True,,,,
fedsafe_fipca_ef_d32,fipca,18,7.189800977706909,384,40,32,True,,,,
fedsafe_fipca_ef_d32,fipca,19,7.0701093673706055,384,40,32,True,,,,
fedsafe_fipca_ef_d32,fipca,20,7.206975936889648,384,40,32,True,,0.9865082800388336,0.23938022553920746,11.41238585114479
fedsafe_fipca_ef_d32,fipca,21,6.939253091812134,384,40,32,True,,,,
fedsafe_fipca_ef_d32,fipca,22,7.119953870773315,384,40,32,True,,,,
fedsafe_fipca_ef_d32,fipca,23,7.0992937088012695,384,40,32,True,,,,
fedsafe_fipca_ef_d32,fipca,24,7.192317247390747,384,40,32,True,,,,
fedsafe_fipca_ef_d32,fipca,25,7.016754150390625,384,40,32,True,,0.9865185841917992,0.23938212543725967,11.411411315202713
fedsafe_fipca_ef_d32,fipca,26,7.262386322021484,384,40,32,True,,,,
fedsafe_fipca_ef_d32,fipca,27,7.1471099853515625,384,40,32,True,,,,
fedsafe_fipca_ef_d32,fipca,28,7.12173318862915,384,40,32,True,,,,
fedsafe_fipca_ef_d32,fipca,29,7.071417808532715,384,40,32,True,,,,
fedsafe_fipca_ef_d32,fipca,30,7.05415415763855,384,40,32,True,,0.9865212887525558,0.23938774317502975,11.410746723413467
fedsafe_fipca_ef_d32,fipca,31,7.2860939502716064,384,40,32,True,,,,
fedsafe_fipca_ef_d32,fipca,32,7.059459686279297,384,40,32,True,,,,
fedsafe_fipca_ef_d32,fipca,33,7.161872386932373,384,40,32,True,,,,
fedsafe_fipca_ef_d32,fipca,34,6.980116128921509,384,40,32,True,,,,
fedsafe_fipca_ef_d32,fipca,35,7.332120180130005,384,40,32,True,,0.9865455403923988,0.23937154561281204,11.410102844238281
fedsafe_fipca_ef_d32,fipca,36,6.975380182266235,384,40,32,True,,,,
fedsafe_fipca_ef_d32,fipca,37,7.2943291664123535,384,40,32,True,,,,
fedsafe_fipca_ef_d32,fipca,38,7.089942216873169,384,40,32,True,,,,
fedsafe_fipca_ef_d32,fipca,39,7.1659581661224365,384,40,32,True,,,,
fedsafe_fipca_ef_d32,fipca,40,6.976883888244629,384,40,32,True,,0.9865636900067329,0.2393617108464241,11.409442573785782
fedsafe_fipca_ef_d32,fipca,41,7.301507472991943,384,40,32,True,,,,
fedsafe_fipca_ef_d32,fipca,42,7.022385358810425,384,40,32,True,,,,
fedsafe_fipca_ef_d32,fipca,43,7.462528467178345,384,40,32,True,,,,
fedsafe_fipca_ef_d32,fipca,44,7.083170175552368,384,40,32,True,,,,
fedsafe_fipca_ef_d32,fipca,45,7.123204469680786,384,40,32,True,,0.9865650087594986,0.23936641216278076,11.408961713314056
fedsafe_fipca_ef_d32,fipca,46,7.159885406494141,384,40,32,True,,,,
fedsafe_fipca_ef_d32,fipca,47,7.197599172592163,384,40,32,True,,,,
fedsafe_fipca_ef_d32,fipca,48,7.271465301513672,384,40,32,True,,,,
fedsafe_fipca_ef_d32,fipca,49,7.02125358581543,384,40,32,True,,,,
fedsafe_fipca_ef_d32,fipca,50,7.208236455917358,384,40,32,True,,0.9865821227431297,0.2393556386232376,11.408457159996033
fedsafe_fipca_ef_d128,fipca,1,9.177251100540161,1536,40,128,True,,0.9886141419410706,0.23929354548454285,11.267146915197372
fedsafe_fipca_ef_d128,fipca,2,7.183472633361816,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,3,7.087496519088745,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,4,7.139245510101318,1536,40,128,True,,,,
fedsafe_fipca_ef_d128,fipca,5,7.4065070152282715,1536,40,128,True,,0.9886047393083572,0.23930349200963974,11.267112344503403
fedsafe_fipca_ef_d128,fipca,6,7.1212615966796875,1536,40,128,True,,,,
