tag,label,mse,ssim,psnr_db
raw,No protection,3.6824900462306687e-08,0.9999610185623169,74.3384662504121
dpsgd,"DP-SGD (σ=0.5, C=1.0)",0.3884032070636749,0.00042093388037756085,4.10717192758005
fipca,FIPCA (rank=32),0.2247481346130371,0.012773833237588406,6.48303904178459
